,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,1,135,125,5,47,66,88,93,36,124,133,123004,13008,50569,32816,58468,12041,28087,150085,305776,1820006,7,7,7,9,7,5,5,7,2,9,5,5,18,7,5,7,7,18,7,7
1,0,118,84,51,60,113,126,52,88,132,125,1505,9648,23883,12850,57466,145290,211414,3436,36265,38767,7,7,18,7,6,21,5,18,9,5,5,5,7,9,7,7,7,7,7,7
2,1,32,84,121,8,13,40,135,36,124,141,10344,9648,8809,27621,13066,50550,48045,62742,46998,85876,7,7,18,7,6,21,6,18,9,7,21,5,7,9,7,7,7,7,7,5
3,1,39,84,57,19,115,135,51,62,46,63,19244,9648,16917,26524,8912,10048,19860,41368,9233,3852,21,7,7,7,7,5,7,18,7,5,7,5,18,9,5,7,5,7,9,7
4,0,128,84,83,104,68,20,138,26,123,76,12986,9648,11620,13900,25419,45394,31002,19522,13620,453316,7,7,18,7,7,8,5,18,7,5,21,5,7,9,5,7,7,7,9,7
5,1,95,84,36,48,13,33,64,44,22,88,54556,9648,10665,49763,36753,7948,5319,81353,3896,3961,7,7,18,7,7,5,5,18,7,5,21,5,7,9,5,7,7,5,9,7
6,0,117,2,57,72,67,114,138,43,60,42,2805,10452,975,122383,365867,383518,11805,22966,31575,41579,8,7,18,9,5,7,5,18,9,5,21,21,7,7,7,5,7,7,7,7
7,1,99,84,91,27,14,89,135,80,133,63,39041,9648,61805,2249057,90434,9513,716682,33116,18204,21417,21,7,18,9,7,7,5,18,1,7,5,21,7,7,5,21,7,7,7,5
8,0,129,84,5,124,88,44,64,71,22,115,33256,9648,26582,20236,12013,23356,3753,14833,487982,47163,7,7,18,7,5,21,21,7,9,7,21,5,7,9,7,7,7,18,7,5
9,0,138,52,71,72,115,20,38,121,65,113,365599,525,46097,26689,57592,95523,1461650,492243,14002,300891,21,7,18,9,7,21,7,18,7,6,7,21,7,7,5,7,5,7,9,7
10,0,93,67,36,132,113,29,109,94,124,99,37474,32917,33727,3310,50821,54610,25510,12033,147787,36888,7,5,7,9,7,21,5,18,9,6,5,7,18,7,6,7,7,7,7,5
11,1,65,2,130,27,113,118,28,43,22,63,51266,333390,9193,34901,50821,35006,753,33043,349479,150567,7,5,8,9,7,7,7,7,7,7,21,7,18,7,6,5,5,18,9,5
12,0,122,9,16,48,12,40,141,62,27,107,6164,84973,942,33045,76456,21892,19633,7562,3007,6316,7,5,7,7,7,21,5,18,21,7,18,7,18,9,5,7,7,7,7,5
13,0,121,52,127,46,42,33,67,94,65,140,65113,4638,37480,51868,80682,64171,37062,1284063,17944,131538,7,7,7,9,7,5,8,7,7,7,5,21,18,7,6,7,7,18,9,5
14,0,101,40,127,104,11,95,24,134,72,75,16420,3076,37480,287,699349,127738,30329,7843,338193,47974,7,7,7,9,5,5,5,7,7,5,21,21,18,7,7,7,7,18,9,7
15,1,68,53,55,15,66,121,27,37,72,12,43788,377930,53603,136319,58468,9247,49525,39569,96907,70156,21,5,7,9,7,7,7,8,7,7,7,7,18,7,5,21,5,18,9,5
16,1,20,40,26,22,90,64,135,99,65,88,33606,132903,34799,530059,68217,40059,129176,1718,28370,25255,8,5,7,7,7,21,7,18,9,7,7,7,18,9,5,7,5,5,7,5
17,0,18,21,44,124,75,23,9,62,65,12,3185,246688,17038,114113,10233,40342,29710,155482,63701,218172,7,21,7,7,5,7,7,7,9,5,21,7,18,9,7,5,5,18,7,7
18,0,103,30,43,27,107,93,52,57,48,67,4863,160,15594,29048,146886,14732,76009,35622,7841,201135,7,7,7,9,7,5,7,18,7,5,21,5,18,7,1,7,21,7,9,7
